figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D1_seed20700713/run_summary.json,sha256:dd007156811084182db797af67237c0ea07d5a41e54ca5a72431ded9730826a2,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700711.jsonl,sha256:b2aca525f38d50e39d7609f0f13bb60816d9e5346cb2d5ca893bada3f1163cce,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D2_seed20700711.jsonl,sha256:f96eb46913d1f83fba7cd288bad4e86114b68c5c7d75325e74ffd31f0666d443,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700711/run_summary.json,sha256:c18dc92a1ed10a491395a81898a5a308236bba7a125ab122879ccbe7c698fc70,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700712.jsonl,sha256:0ae2187d047356b74016b1123131e79ea459dc2f36283ffd1723b36fa836c447,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D2_seed20700712.jsonl,sha256:fc96806b77535d810f572b5217171dbdb5cc29cbe12b183ec6f8ba8bcdcc53e0,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700712/run_summary.json,sha256:40d929e268034be22823e92153772d7d21d3e281421168bc9f9c1c3afeacad2d,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D2_seed20700713.jsonl,sha256:5254ca029b6ec39b384e7f2281eefdb48e90967abde36dfa58445cab373bd477,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D2_seed20700713.jsonl,sha256:564a4b9e849135f21d38c533f12c6800a0e66064d82a5d9168a567db8121a21a,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D2_seed20700713/run_summary.json,sha256:29213bda209d43dd1551db1c00b5fabad60627530b361d998c15ba174133fbbe,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D3_seed20700711.jsonl,sha256:6eafabfb73177784c66f35d60fcf07c459ce02ad7a7abb8292282efd297ee0a7,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D3_seed20700711.jsonl,sha256:4e36f5043f3ecd8bad3c3b3dea91ec0f49451b9db10226db66a86149207a1f3c,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700711/run_summary.json,sha256:145117472dc743e6a73a5439539d244bc92ca6e4f881da3942505007fa447431,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D3_seed20700712.jsonl,sha256:adb74a21e48bff813d34cbe0838ad2d276562028eb921bc5a7e6d7a485e31159,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D3_seed20700712.jsonl,sha256:45ca03567b26679b63f1b9e0cc02c8e9abe519fd29adb46ba6c255b544dbc51d,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700712/run_summary.json,sha256:291d9e2dd76975db68b5814c1cc26621c4bee4f2b19c07ea0a063247ea7e0d7c,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen TRAIN trajectory is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/training_histories/D3_seed20700713.jsonl,sha256:ad9e48eebc04ad9bd73acb50cb141f0ceb8689b9b644d3cbf86c425d58008bf9,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen scheduled validation evaluation is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/validation_histories/D3_seed20700713.jsonl,sha256:73dcd1b437dc49950f58e19fe9e15bf1f000e705e83b4f676698e967b216285f,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,d--g,Every frozen terminal run and selected checkpoint is included.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07d/runs/D3_seed20700713/run_summary.json,sha256:e82e8af317a741e1b2eb3276d7f766edb1a12b7720570ac939616bc04435950a,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,a,The prospective TRAIN pool expanded from six to fourteen lineages.,stage_07_Heterogeneous_Development_Pool/01_pool_generation/results/heterogeneity_descriptor_audit.json,sha256:0c80157d40cfc1a729df6f2980c590b2e6c7a25f83c9d0ccb0b46fe99a2cc979,old_train_count/new_train_count/fresh_validation_count,CONFIRMATORY,Direct frozen counts.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,b,H1--H4 are registered formula strata.,stage_07_Heterogeneous_Development_Pool/01_pool_generation/heterogeneity_strata/formula_identity_library.json,sha256:520f42b2700676b3e6a570297930609b630cf0d004257e6ea4b18d8a54b83d2f,lineages[].stratum/lineage_id/role,CONFIRMATORY,Formula identities grouped by preregistered stratum.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,c,Prospective heterogeneity changed the frozen target scale.,stage_07_Heterogeneous_Development_Pool/02_defect_scale_requalification/stage07b/distribution_shift/scale_distribution_shift.json,sha256:fed997568e42041c686391295ad7ab05b181528b534ed37d06f923916686d236,s_a_v1/s_a_v2/s_a_v2_over_s_a_v1,DIAGNOSTIC_ONLY,Direct frozen scalars; no performance inference.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,"h,i",Common-anchor raw RMSE does not support Branch B.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/results/stage07dr_results.json,sha256:da120e5535dcb819b76623b6af7f394e64b7dca36d5911e205af906499a404b6,branch_B.rows/BRANCH_B_OUTCOME,NEGATIVE_CONFIRMATORY,All 54 frozen common-anchor rows plotted; log axis.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
Figure 8,i,No checkpoint among the complete 652 inventory passed all registered gates.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/checkpoint_scan/all_652_checkpoint_gate_scan.json,sha256:587b35b224910efa8d7fe996b07e660fe4896db0bfa47dcf4f18a9593d4e4d97,checkpoint_count/gates_global/gates_by_arm,NEGATIVE_CONFIRMATORY,Frozen gate status card; detailed scan in Supplementary S10.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf;publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png
